fold,split,sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300
1,train,drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,Ill Remember April,3,Kenny Drew / Kenny Drew,0,0,drewk-illrememberapril-wrightespecsc-1953-cf0eadd8,Ill Remember April,1953,Kenny Drew,Kenny Drew,false
1,train,tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,3,Lennie Tristano / Lennie Tristano,3,3,tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,1955,Lennie Tristano,Lennie Tristano,false
1,train,evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad,In Your Own Sweet Way,4,Bill Evans / Bill Evans,0,0,evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad,In Your Own Sweet Way,1980,Bill Evans,Bill Evans,false
1,train,jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,4,Keith Jarrett / Keith Jarrett,2,2,jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,1993,Keith Jarrett,Keith Jarrett,true
1,train,tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,4,McCoy Tyner / McCoy Tyner,3,3,tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,1962,McCoy Tyner,McCoy Tyner,false
1,train,jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,5,Ahmad Jamal / Ahmad Jamal,4,4,jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,1960,Ahmad Jamal,Ahmad Jamal,false
1,train,evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,Like Someone in Love,5,Bill Evans / Bill Evans,0,0,evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,Like Someone in Love,1980,Bill Evans,Bill Evans,false
1,train,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,5,Bud Powell / Bud Powell,3,3,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,1953,Bud Powell,Bud Powell,true
1,train,jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,5,Hank Jones / Hank Jones,2,2,jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,1977,Hank Jones,Hank Jones,false
1,train,flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,5,Tommy Flanagan / Tommy Flanagan,5,5,flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,1961,Tommy Flanagan,Tommy Flanagan,true
1,train,evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,6,Bill Evans / Bill Evans,2,2,evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,1977,Bill Evans,Bill Evans,false
1,train,hawesh-myromance-mitchellrduckd-1966-b64be2c4,My Romance,6,Hampton Hawes / Hampton Hawes,0,0,hawesh-myromance-mitchellrduckd-1966-b64be2c4,My Romance,1966,Hampton Hawes,Hampton Hawes,false
1,train,brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,6,Ray Brown / Gene Harris,3,3,brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,1991,Ray Brown,Gene Harris,false
1,train,jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7,On Green Dolphin Street,7,Ahmad Jamal / Ahmad Jamal,0,0,jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7,On Green Dolphin Street,1959,Ahmad Jamal,Ahmad Jamal,false
1,train,petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,7,Oscar Peterson / Oscar Peterson,5,5,petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,1961,Oscar Peterson,Oscar Peterson,false
1,train,brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,7,Ray Brown / Joe Sample,3,3,brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,1975,Ray Brown,Joe Sample,false
1,train,garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,7,Red Garland / Red Garland,4,4,garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,1961,Red Garland,Red Garland,false
1,train,kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,7,Wynton Kelly / Wynton Kelly,2,2,kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,1955,Wynton Kelly,Wynton Kelly,false
1,train,timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,8,Bobby Timmons / Bobby Timmons,3,3,timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,1964,Bobby Timmons,Bobby Timmons,false
1,train,jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,8,Keith Jarrett / Keith Jarrett,2,2,jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,1998,Keith Jarrett,Keith Jarrett,false
1,train,bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6,Santa Claus Is Coming to Town,8,Paul Bley / Paul Bley,0,0,bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6,Santa Claus Is Coming to Town,1985,Paul Bley,Paul Bley,false
1,train,powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,9,Bud Powell / Bud Powell,3,3,powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,1961,Bud Powell,Bud Powell,true
1,train,petersono-satindoll-brownrthigpene-1964-f07c7707,Satin Doll,9,Oscar Peterson / Oscar Peterson,0,0,petersono-satindoll-brownrthigpene-1964-f07c7707,Satin Doll,1964,Oscar Peterson,Oscar Peterson,false
1,train,brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,9,Ray Brown / Joe Sample,2,2,brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,1975,Ray Brown,Joe Sample,false
1,train,evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,10,Bill Evans / Bill Evans,3,3,evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,1972,Bill Evans,Bill Evans,false
1,train,coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,Someday My Prince Will Come,10,Chick Corea / Chick Corea,0,0,coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,Someday My Prince Will Come,1989,Chick Corea,Chick Corea,false
1,train,jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,10,Keith Jarrett / Keith Jarrett,2,2,jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,2001,Keith Jarrett,Keith Jarrett,false
1,train,jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,11,Ahmad Jamal / Ahmad Jamal,5,5,jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,1961,Ahmad Jamal,Ahmad Jamal,false
1,train,evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,11,Bill Evans / Bill Evans,6,6,evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,1980,Bill Evans,Bill Evans,false
1,train,jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,11,Hank Jones / Hank Jones,4,4,jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,2006,Hank Jones,Hank Jones,false
1,train,hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,11,John Hicks / John Hicks,7,7,hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,1993,John Hicks,John Hicks,true
1,train,drewk-stellabystarlight-russellcblakeya-1951-e9851153,Stella by Starlight,11,Kenny Drew / Kenny Drew,0,0,drewk-stellabystarlight-russellcblakeya-1951-e9851153,Stella by Starlight,1951,Kenny Drew,Kenny Drew,false
1,train,petersono-stellabystarlight-jonesshayesl-1966-990184dc,Stella by Starlight,11,Oscar Peterson / Oscar Peterson,3,3,petersono-stellabystarlight-jonesshayesl-1966-990184dc,Stella by Starlight,1966,Oscar Peterson,Oscar Peterson,true
1,train,cowells-stellabystarlight-thomascthomasw-1993-6e5a304e,Stella by Starlight,11,Stanley Cowell / Stanley Cowell,2,2,cowells-stellabystarlight-thomascthomasw-1993-6e5a304e,Stella by Starlight,1993,Stanley Cowell,Stanley Cowell,false
1,train,waltonc-thereisnogreaterlove-williamsdhigginsb-1992-c4cb26bd,There Is No Greater Love,12,Cedar Walton / Cedar Walton,4,4,waltonc-thereisnogreaterlove-williamsdhigginsb-1992-c4cb26bd,There Is No Greater Love,1992,Cedar Walton,Cedar Walton,false
1,train,hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,There Is No Greater Love,12,John Hicks / John Hicks,2,2,hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,There Is No Greater Love,1993,John Hicks,John Hicks,true
1,train,barronk-thereisnogreaterlove-williamsbrileyb-1984-90d41f7e,There Is No Greater Love,12,Kenny Barron / Kenny Barron,3,3,barronk-thereisnogreaterlove-williamsbrileyb-1984-90d41f7e,There Is No Greater Love,1984,Kenny Barron,Kenny Barron,true
1,train,petersono-thereisnogreaterlove-brownrthigpene-1961-dc8ea579,There Is No Greater Love,12,Oscar Peterson / Oscar Peterson,0,0,petersono-thereisnogreaterlove-brownrthigpene-1961-dc8ea579,There Is No Greater Love,1961,Oscar Peterson,Oscar Peterson,false
1,train,jamala-whatisthisthingcalled-crosbyifournierv-1961-41d8df86,What Is This Thing Called Love,13,Ahmad Jamal / Ahmad Jamal,3,3,jamala-whatisthisthingcalled-crosbyifournierv-1961-41d8df86,What Is This Thing Called Love,1961,Ahmad Jamal,Ahmad Jamal,true
1,train,mancej-whatisthisthingcalled-bettskwilliamsj-1998-15983625,What Is This Thing Called Love,13,Junior Mance / Junior Mance,2,2,mancej-whatisthisthingcalled-bettskwilliamsj-1998-15983625,What Is This Thing Called Love,1998,Junior Mance,Junior Mance,true
1,train,jarrettk-whatisthisthingcalled-peacockgdejohnettej-1999-72ad4994,What Is This Thing Called Love,13,Keith Jarrett / Keith Jarrett,0,0,jarrettk-whatisthisthingcalled-peacockgdejohnettej-1999-72ad4994,What Is This Thing Called Love,1999,Keith Jarrett,Keith Jarrett,false
1,train,mancej-whispernot-cleyndertabrowns-2000-7234835b,Whisper Not,14,Junior Mance / Junior Mance,3,3,mancej-whispernot-cleyndertabrowns-2000-7234835b,Whisper Not,2000,Junior Mance,Junior Mance,true
1,train,jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,Whisper Not,14,Keith Jarrett / Keith Jarrett,2,2,jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,Whisper Not,1999,Keith Jarrett,Keith Jarrett,true
1,train,petersono-whispernot-brownrthigpene-1961-aa3ac076,Whisper Not,14,Oscar Peterson / Oscar Peterson,0,0,petersono-whispernot-brownrthigpene-1961-aa3ac076,Whisper Not,1961,Oscar Peterson,Oscar Peterson,false
1,train,hollandd-yesterdays-joneshhigginsb-1989-126bab92,Yesterdays,15,Dave Holland / Hank Jones,3,3,hollandd-yesterdays-joneshhigginsb-1989-126bab92,Yesterdays,1989,Dave Holland,Hank Jones,false
1,train,hicksj-yesterdays-drummondrmuhammadi-1990-8a89257c,Yesterdays,15,John Hicks / John Hicks,2,2,hicksj-yesterdays-drummondrmuhammadi-1990-8a89257c,Yesterdays,1990,John Hicks,John Hicks,true
1,train,drewk-yesterdays-russellcblakeya-1951-3dc431b2,Yesterdays,15,Kenny Drew / Kenny Drew,0,0,drewk-yesterdays-russellcblakeya-1951-3dc431b2,Yesterdays,1951,Kenny Drew,Kenny Drew,false
1,train,tynerm-yesterdays-sharpeascotta-1989-47615333,Yesterdays,15,McCoy Tyner / McCoy Tyner,5,5,tynerm-yesterdays-sharpeascotta-1989-47615333,Yesterdays,1989,McCoy Tyner,McCoy Tyner,true
1,train,brownr-yesterdays-smithpbellsonl-1978-6357e74c,Yesterdays,15,Ray Brown / Paul Smith,4,4,brownr-yesterdays-smithpbellsonl-1978-6357e74c,Yesterdays,1978,Ray Brown,Paul Smith,false
