sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300,raw_audio_path,audio_path,sample_rate,num_samples,duration_sec
tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,3,Lennie Tristano / Lennie Tristano,3,3,tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,1955,Lennie Tristano,Lennie Tristano,false,raw_jtd_wav_path/tristanol-illrememberapril-indpweyburnt-1955-a26b8df0.wav,data/processed/jtd_group_cv_16/audio_24k_mono/tristanol-illrememberapril-indpweyburnt-1955-a26b8df0.wav,24000,4560401,190.016708
evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad,In Your Own Sweet Way,4,Bill Evans / Bill Evans,0,0,evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad,In Your Own Sweet Way,1980,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-inyourownsweetway-johnsonmlabarberaj-1980-103a83ad.wav,24000,3360401,140.016708
jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,4,Keith Jarrett / Keith Jarrett,2,2,jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,1993,Keith Jarrett,Keith Jarrett,true,raw_jtd_wav_path/jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52.wav,24000,6384503,266.020958
drewk-inyourownsweetway-rstednqueena-1990-3ab72aec,In Your Own Sweet Way,4,Kenny Drew / Kenny Drew,1,1,drewk-inyourownsweetway-rstednqueena-1990-3ab72aec,In Your Own Sweet Way,1990,Kenny Drew,Kenny Drew,false,raw_jtd_wav_path/drewk-inyourownsweetway-rstednqueena-1990-3ab72aec.wav,data/processed/jtd_group_cv_16/audio_24k_mono/drewk-inyourownsweetway-rstednqueena-1990-3ab72aec.wav,24000,3792425,158.017708
tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,4,McCoy Tyner / McCoy Tyner,3,3,tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,1962,McCoy Tyner,McCoy Tyner,false,raw_jtd_wav_path/tynerm-inyourownsweetway-davissjonese-1962-81aa6670.wav,data/processed/jtd_group_cv_16/audio_24k_mono/tynerm-inyourownsweetway-davissjonese-1962-81aa6670.wav,24000,2592209,108.008708
jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,5,Ahmad Jamal / Ahmad Jamal,4,4,jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,1960,Ahmad Jamal,Ahmad Jamal,false,raw_jtd_wav_path/jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10.wav,24000,1392055,58.002292
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,Like Someone in Love,5,Bill Evans / Bill Evans,0,0,evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914,Like Someone in Love,1980,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-likesomeoneinlove-johnsonmlabarberaj-1980-f8b4f914.wav,24000,1800216,75.009000
powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,5,Bud Powell / Bud Powell,3,3,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,1953,Bud Powell,Bud Powell,true,raw_jtd_wav_path/powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d.wav,data/processed/jtd_group_cv_16/audio_24k_mono/powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d.wav,24000,2616257,109.010708
jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,5,Hank Jones / Hank Jones,2,2,jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,1977,Hank Jones,Hank Jones,false,raw_jtd_wav_path/jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b.wav,24000,1536290,64.012083
tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12,Like Someone in Love,5,McCoy Tyner / McCoy Tyner,1,1,tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12,Like Someone in Love,1991,McCoy Tyner,McCoy Tyner,false,raw_jtd_wav_path/tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12.wav,data/processed/jtd_group_cv_16/audio_24k_mono/tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12.wav,24000,4560401,190.016708
flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,5,Tommy Flanagan / Tommy Flanagan,5,5,flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,1961,Tommy Flanagan,Tommy Flanagan,true,raw_jtd_wav_path/flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde.wav,data/processed/jtd_group_cv_16/audio_24k_mono/flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde.wav,24000,1200238,50.009917
evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,6,Bill Evans / Bill Evans,2,2,evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,1977,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-myromance-johnsonmlabarberaj-1977-6fe9d497.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-myromance-johnsonmlabarberaj-1977-6fe9d497.wav,24000,672279,28.011625
hawesh-myromance-mitchellrduckd-1966-b64be2c4,My Romance,6,Hampton Hawes / Hampton Hawes,0,0,hawesh-myromance-mitchellrduckd-1966-b64be2c4,My Romance,1966,Hampton Hawes,Hampton Hawes,false,raw_jtd_wav_path/hawesh-myromance-mitchellrduckd-1966-b64be2c4.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hawesh-myromance-mitchellrduckd-1966-b64be2c4.wav,24000,720414,30.017250
brownr-myromance-moronidnashl-1994-21fb6b42,My Romance,6,Ray Brown / Dado Moroni,1,1,brownr-myromance-moronidnashl-1994-21fb6b42,My Romance,1994,Ray Brown,Dado Moroni,false,raw_jtd_wav_path/brownr-myromance-moronidnashl-1994-21fb6b42.wav,data/processed/jtd_group_cv_16/audio_24k_mono/brownr-myromance-moronidnashl-1994-21fb6b42.wav,24000,1727800,71.991667
brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,6,Ray Brown / Gene Harris,3,3,brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,1991,Ray Brown,Gene Harris,false,raw_jtd_wav_path/brownr-myromance-harrisghamiltonj-1991-037d485a.wav,data/processed/jtd_group_cv_16/audio_24k_mono/brownr-myromance-harrisghamiltonj-1991-037d485a.wav,24000,3480564,145.023500
jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7,On Green Dolphin Street,7,Ahmad Jamal / Ahmad Jamal,0,0,jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7,On Green Dolphin Street,1959,Ahmad Jamal,Ahmad Jamal,false,raw_jtd_wav_path/jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-ongreendolphinstreet-crosbyifournierv-1959-8ff3c6f7.wav,24000,2184050,91.002083
evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d,On Green Dolphin Street,7,Bill Evans / Bill Evans,1,1,evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d,On Green Dolphin Street,1967,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d.wav,24000,1752403,73.016792
petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,7,Oscar Peterson / Oscar Peterson,5,5,petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,1961,Oscar Peterson,Oscar Peterson,false,raw_jtd_wav_path/petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118.wav,data/processed/jtd_group_cv_16/audio_24k_mono/petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118.wav,24000,4655578,193.982417
brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,7,Ray Brown / Joe Sample,3,3,brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,1975,Ray Brown,Joe Sample,false,raw_jtd_wav_path/brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1.wav,data/processed/jtd_group_cv_16/audio_24k_mono/brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1.wav,24000,1944475,81.019792
garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,7,Red Garland / Red Garland,4,4,garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,1961,Red Garland,Red Garland,false,raw_jtd_wav_path/garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a.wav,data/processed/jtd_group_cv_16/audio_24k_mono/garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a.wav,24000,984501,41.020875
kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,7,Wynton Kelly / Wynton Kelly,2,2,kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,1955,Wynton Kelly,Wynton Kelly,false,raw_jtd_wav_path/kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e.wav,data/processed/jtd_group_cv_16/audio_24k_mono/kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e.wav,24000,4367521,181.980042
evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4,Santa Claus Is Coming to Town,8,Bill Evans / Bill Evans,1,1,evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4,Santa Claus Is Coming to Town,1966,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4.wav,24000,1943950,80.997917
timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,8,Bobby Timmons / Bobby Timmons,3,3,timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,1964,Bobby Timmons,Bobby Timmons,false,raw_jtd_wav_path/timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78.wav,data/processed/jtd_group_cv_16/audio_24k_mono/timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78.wav,24000,2448253,102.010542
jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,8,Keith Jarrett / Keith Jarrett,2,2,jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,1998,Keith Jarrett,Keith Jarrett,false,raw_jtd_wav_path/jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b.wav,24000,5064388,211.016167
bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6,Santa Claus Is Coming to Town,8,Paul Bley / Paul Bley,0,0,bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6,Santa Claus Is Coming to Town,1985,Paul Bley,Paul Bley,false,raw_jtd_wav_path/bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6.wav,data/processed/jtd_group_cv_16/audio_24k_mono/bleyp-santaclausiscomingto-lundgaardjhartb-1985-6917dfd6.wav,24000,1608020,67.000833
powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,9,Bud Powell / Bud Powell,3,3,powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,1961,Bud Powell,Bud Powell,true,raw_jtd_wav_path/powellb-satindoll-bibigfieldsk-1961-cf73bbe5.wav,data/processed/jtd_group_cv_16/audio_24k_mono/powellb-satindoll-bibigfieldsk-1961-cf73bbe5.wav,24000,3336142,139.005917
tynerm-satindoll-sharpeahayesl-1986-e475823a,Satin Doll,9,McCoy Tyner / McCoy Tyner,1,1,tynerm-satindoll-sharpeahayesl-1986-e475823a,Satin Doll,1986,McCoy Tyner,McCoy Tyner,true,raw_jtd_wav_path/tynerm-satindoll-sharpeahayesl-1986-e475823a.wav,data/processed/jtd_group_cv_16/audio_24k_mono/tynerm-satindoll-sharpeahayesl-1986-e475823a.wav,24000,5712231,238.009625
petersono-satindoll-brownrthigpene-1964-f07c7707,Satin Doll,9,Oscar Peterson / Oscar Peterson,0,0,petersono-satindoll-brownrthigpene-1964-f07c7707,Satin Doll,1964,Oscar Peterson,Oscar Peterson,false,raw_jtd_wav_path/petersono-satindoll-brownrthigpene-1964-f07c7707.wav,data/processed/jtd_group_cv_16/audio_24k_mono/petersono-satindoll-brownrthigpene-1964-f07c7707.wav,24000,648458,27.019083
brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,9,Ray Brown / Joe Sample,2,2,brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,1975,Ray Brown,Joe Sample,false,raw_jtd_wav_path/brownr-satindoll-samplejmannes-1975-32107f71.wav,data/processed/jtd_group_cv_16/audio_24k_mono/brownr-satindoll-samplejmannes-1975-32107f71.wav,24000,1680264,70.011000
evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,10,Bill Evans / Bill Evans,3,3,evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,1972,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1.wav,24000,1416236,59.009833
coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,Someday My Prince Will Come,10,Chick Corea / Chick Corea,0,0,coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0,Someday My Prince Will Come,1989,Chick Corea,Chick Corea,false,raw_jtd_wav_path/coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0.wav,data/processed/jtd_group_cv_16/audio_24k_mono/coreac-somedaymyprincewillcome-patituccijweckld-1989-2fea2bf0.wav,24000,1512216,63.009000
jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,10,Keith Jarrett / Keith Jarrett,2,2,jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,2001,Keith Jarrett,Keith Jarrett,false,raw_jtd_wav_path/jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74.wav,24000,7728240,322.010000
barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,Someday My Prince Will Come,10,Kenny Barron / Kenny Barron,1,1,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,Someday My Prince Will Come,1982,Kenny Barron,Kenny Barron,true,raw_jtd_wav_path/barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e.wav,data/processed/jtd_group_cv_16/audio_24k_mono/barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e.wav,24000,4440403,185.016792
jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,11,Ahmad Jamal / Ahmad Jamal,5,5,jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,1961,Ahmad Jamal,Ahmad Jamal,false,raw_jtd_wav_path/jamala-stellabystarlight-crosbyifournierv-1961-6601943f.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jamala-stellabystarlight-crosbyifournierv-1961-6601943f.wav,24000,3048050,127.002083
evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,11,Bill Evans / Bill Evans,6,6,evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,1980,Bill Evans,Bill Evans,false,raw_jtd_wav_path/evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760.wav,data/processed/jtd_group_cv_16/audio_24k_mono/evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760.wav,24000,2520492,105.020500
jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,11,Hank Jones / Hank Jones,4,4,jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,2006,Hank Jones,Hank Jones,false,raw_jtd_wav_path/jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7.wav,data/processed/jtd_group_cv_16/audio_24k_mono/jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7.wav,24000,888018,37.000750
hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,11,John Hicks / John Hicks,7,7,hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,1993,John Hicks,John Hicks,true,raw_jtd_wav_path/hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe.wav,data/processed/jtd_group_cv_16/audio_24k_mono/hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe.wav,24000,3216314,134.013083
