fold,split,sample_id,label,label_index,group_id,group_index,cv_index,fname_placeholder,track,year,bandleader,pianist,jtd_300
0,train,jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,2,Ahmad Jamal / Ahmad Jamal,2,2,jamala-ididntknowwhattime-nasserjlampkinc-1966-d41671ba,I Didnt Know What Time It Was,1966,Ahmad Jamal,Ahmad Jamal,true
0,train,waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,I Didnt Know What Time It Was,2,Cedar Walton / Cedar Walton,1,1,waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,I Didnt Know What Time It Was,1979,Cedar Walton,Cedar Walton,false
0,train,hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,2,John Hicks / John Hicks,3,3,hicksj-ididntknowwhattime-lundycmuhammadi-1987-7e650670,I Didnt Know What Time It Was,1987,John Hicks,John Hicks,true
0,train,hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,3,Hampton Hawes / Hampton Hawes,2,2,hawesh-illrememberapril-lafarosbutlerf-1956-16f3aa28,Ill Remember April,1956,Hampton Hawes,Hampton Hawes,false
0,train,jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,Ill Remember April,3,Hank Jones / Hank Jones,1,1,jonesh-illrememberapril-mrazgwashingtonk-1991-31ce3ec4,Ill Remember April,1991,Hank Jones,Hank Jones,false
0,train,tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,3,Lennie Tristano / Lennie Tristano,3,3,tristanol-illrememberapril-indpweyburnt-1955-a26b8df0,Ill Remember April,1955,Lennie Tristano,Lennie Tristano,false
0,train,jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,4,Keith Jarrett / Keith Jarrett,2,2,jarrettk-inyourownsweetway-peacockgdejohnettej-1993-df10bb52,In Your Own Sweet Way,1993,Keith Jarrett,Keith Jarrett,true
0,train,drewk-inyourownsweetway-rstednqueena-1990-3ab72aec,In Your Own Sweet Way,4,Kenny Drew / Kenny Drew,1,1,drewk-inyourownsweetway-rstednqueena-1990-3ab72aec,In Your Own Sweet Way,1990,Kenny Drew,Kenny Drew,false
0,train,tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,4,McCoy Tyner / McCoy Tyner,3,3,tynerm-inyourownsweetway-davissjonese-1962-81aa6670,In Your Own Sweet Way,1962,McCoy Tyner,McCoy Tyner,false
0,train,jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,5,Ahmad Jamal / Ahmad Jamal,4,4,jamala-likesomeoneinlove-crosbyifournierv-1960-16d2bf10,Like Someone in Love,1960,Ahmad Jamal,Ahmad Jamal,false
0,train,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,5,Bud Powell / Bud Powell,3,3,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,Like Someone in Love,1953,Bud Powell,Bud Powell,true
0,train,jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,5,Hank Jones / Hank Jones,2,2,jonesh-likesomeoneinlove-duviviergjacksono-1977-75081d2b,Like Someone in Love,1977,Hank Jones,Hank Jones,false
0,train,tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12,Like Someone in Love,5,McCoy Tyner / McCoy Tyner,1,1,tynerm-likesomeoneinlove-sharpeascotta-1991-4909cf12,Like Someone in Love,1991,McCoy Tyner,McCoy Tyner,false
0,train,flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,5,Tommy Flanagan / Tommy Flanagan,5,5,flanagant-likesomeoneinlove-tuckerbbaileyd-1961-d5cd9dde,Like Someone in Love,1961,Tommy Flanagan,Tommy Flanagan,true
0,train,evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,6,Bill Evans / Bill Evans,2,2,evansb-myromance-johnsonmlabarberaj-1977-6fe9d497,My Romance,1977,Bill Evans,Bill Evans,false
0,train,brownr-myromance-moronidnashl-1994-21fb6b42,My Romance,6,Ray Brown / Dado Moroni,1,1,brownr-myromance-moronidnashl-1994-21fb6b42,My Romance,1994,Ray Brown,Dado Moroni,false
0,train,brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,6,Ray Brown / Gene Harris,3,3,brownr-myromance-harrisghamiltonj-1991-037d485a,My Romance,1991,Ray Brown,Gene Harris,false
0,train,evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d,On Green Dolphin Street,7,Bill Evans / Bill Evans,1,1,evansb-ongreendolphinstreet-gomezedejohnettej-1967-e580f47d,On Green Dolphin Street,1967,Bill Evans,Bill Evans,false
0,train,petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,7,Oscar Peterson / Oscar Peterson,5,5,petersono-ongreendolphinstreet-brownrthigpene-1961-940fa118,On Green Dolphin Street,1961,Oscar Peterson,Oscar Peterson,false
0,train,brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,7,Ray Brown / Joe Sample,3,3,brownr-ongreendolphinstreet-samplejmannes-1975-9a9278d1,On Green Dolphin Street,1975,Ray Brown,Joe Sample,false
0,train,garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,7,Red Garland / Red Garland,4,4,garlandr-ongreendolphinstreet-jonesspersipc-1961-b88d062a,On Green Dolphin Street,1961,Red Garland,Red Garland,false
0,train,kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,7,Wynton Kelly / Wynton Kelly,2,2,kellyw-ongreendolphinstreet-chamberspcobbj-1955-3e123c7e,On Green Dolphin Street,1955,Wynton Kelly,Wynton Kelly,false
0,train,evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4,Santa Claus Is Coming to Town,8,Bill Evans / Bill Evans,1,1,evansb-santaclausiscomingto-peacockgmotianp-1966-9adb51a4,Santa Claus Is Coming to Town,1966,Bill Evans,Bill Evans,false
0,train,timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,8,Bobby Timmons / Bobby Timmons,3,3,timmonsb-santaclausiscomingto-warrenbperkinsw-1964-8bb49e78,Santa Claus Is Coming to Town,1964,Bobby Timmons,Bobby Timmons,false
0,train,jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,8,Keith Jarrett / Keith Jarrett,2,2,jarrettk-santaclausiscomingto-peacockgdejohnettej-1998-22e04d0b,Santa Claus Is Coming to Town,1998,Keith Jarrett,Keith Jarrett,false
0,train,powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,9,Bud Powell / Bud Powell,3,3,powellb-satindoll-bibigfieldsk-1961-cf73bbe5,Satin Doll,1961,Bud Powell,Bud Powell,true
0,train,tynerm-satindoll-sharpeahayesl-1986-e475823a,Satin Doll,9,McCoy Tyner / McCoy Tyner,1,1,tynerm-satindoll-sharpeahayesl-1986-e475823a,Satin Doll,1986,McCoy Tyner,McCoy Tyner,true
0,train,brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,9,Ray Brown / Joe Sample,2,2,brownr-satindoll-samplejmannes-1975-32107f71,Satin Doll,1975,Ray Brown,Joe Sample,false
0,train,evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,10,Bill Evans / Bill Evans,3,3,evansb-somedaymyprincewillcome-gomezemorellm-1972-f5c17cd1,Someday My Prince Will Come,1972,Bill Evans,Bill Evans,false
0,train,jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,10,Keith Jarrett / Keith Jarrett,2,2,jarrettk-somedaymyprincewillcome-peacockgdejohnettej-2001-36644b74,Someday My Prince Will Come,2001,Keith Jarrett,Keith Jarrett,false
0,train,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,Someday My Prince Will Come,10,Kenny Barron / Kenny Barron,1,1,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,Someday My Prince Will Come,1982,Kenny Barron,Kenny Barron,true
0,train,jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,11,Ahmad Jamal / Ahmad Jamal,5,5,jamala-stellabystarlight-crosbyifournierv-1961-6601943f,Stella by Starlight,1961,Ahmad Jamal,Ahmad Jamal,false
0,train,evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,11,Bill Evans / Bill Evans,6,6,evansb-stellabystarlight-johnsonmlabarberaj-1980-55c0e760,Stella by Starlight,1980,Bill Evans,Bill Evans,false
0,train,jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,11,Hank Jones / Hank Jones,4,4,jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,Stella by Starlight,2006,Hank Jones,Hank Jones,false
0,train,hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,11,John Hicks / John Hicks,7,7,hicksj-stellabystarlight-drummondrsmittym-1993-5509efbe,Stella by Starlight,1993,John Hicks,John Hicks,true
0,train,barronk-stellabystarlight-carterrcobhamb-2003-63b7639c,Stella by Starlight,11,Kenny Barron / Kenny Barron,1,1,barronk-stellabystarlight-carterrcobhamb-2003-63b7639c,Stella by Starlight,2003,Kenny Barron,Kenny Barron,false
0,train,petersono-stellabystarlight-jonesshayesl-1966-990184dc,Stella by Starlight,11,Oscar Peterson / Oscar Peterson,3,3,petersono-stellabystarlight-jonesshayesl-1966-990184dc,Stella by Starlight,1966,Oscar Peterson,Oscar Peterson,true
0,train,cowells-stellabystarlight-thomascthomasw-1993-6e5a304e,Stella by Starlight,11,Stanley Cowell / Stanley Cowell,2,2,cowells-stellabystarlight-thomascthomasw-1993-6e5a304e,Stella by Starlight,1993,Stanley Cowell,Stanley Cowell,false
0,train,waltonc-thereisnogreaterlove-williamsdhigginsb-1992-c4cb26bd,There Is No Greater Love,12,Cedar Walton / Cedar Walton,4,4,waltonc-thereisnogreaterlove-williamsdhigginsb-1992-c4cb26bd,There Is No Greater Love,1992,Cedar Walton,Cedar Walton,false
0,train,hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,There Is No Greater Love,12,John Hicks / John Hicks,2,2,hicksj-thereisnogreaterlove-drummondrsmittym-1993-52e6c99d,There Is No Greater Love,1993,John Hicks,John Hicks,true
0,train,barronk-thereisnogreaterlove-williamsbrileyb-1984-90d41f7e,There Is No Greater Love,12,Kenny Barron / Kenny Barron,3,3,barronk-thereisnogreaterlove-williamsbrileyb-1984-90d41f7e,There Is No Greater Love,1984,Kenny Barron,Kenny Barron,true
0,train,kellyw-thereisnogreaterlove-mcclurercobbj-1966-372399bb,There Is No Greater Love,12,Wynton Kelly / Wynton Kelly,1,1,kellyw-thereisnogreaterlove-mcclurercobbj-1966-372399bb,There Is No Greater Love,1966,Wynton Kelly,Wynton Kelly,false
0,train,jamala-whatisthisthingcalled-crosbyifournierv-1961-41d8df86,What Is This Thing Called Love,13,Ahmad Jamal / Ahmad Jamal,3,3,jamala-whatisthisthingcalled-crosbyifournierv-1961-41d8df86,What Is This Thing Called Love,1961,Ahmad Jamal,Ahmad Jamal,true
0,train,evansb-whatisthisthingcalled-israelscbunkerl-1961-8a127c18,What Is This Thing Called Love,13,Bill Evans / Bill Evans,1,1,evansb-whatisthisthingcalled-israelscbunkerl-1961-8a127c18,What Is This Thing Called Love,1961,Bill Evans,Bill Evans,false
0,train,mancej-whatisthisthingcalled-bettskwilliamsj-1998-15983625,What Is This Thing Called Love,13,Junior Mance / Junior Mance,2,2,mancej-whatisthisthingcalled-bettskwilliamsj-1998-15983625,What Is This Thing Called Love,1998,Junior Mance,Junior Mance,true
0,train,jamala-whispernot-nasserjfournierv-1965-dc92588c,Whisper Not,14,Ahmad Jamal / Ahmad Jamal,1,1,jamala-whispernot-nasserjfournierv-1965-dc92588c,Whisper Not,1965,Ahmad Jamal,Ahmad Jamal,true
0,train,mancej-whispernot-cleyndertabrowns-2000-7234835b,Whisper Not,14,Junior Mance / Junior Mance,3,3,mancej-whispernot-cleyndertabrowns-2000-7234835b,Whisper Not,2000,Junior Mance,Junior Mance,true
0,train,jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,Whisper Not,14,Keith Jarrett / Keith Jarrett,2,2,jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,Whisper Not,1999,Keith Jarrett,Keith Jarrett,true
0,train,evansb-yesterdays-gomezemorellm-1968-43d1c693,Yesterdays,15,Bill Evans / Bill Evans,1,1,evansb-yesterdays-gomezemorellm-1968-43d1c693,Yesterdays,1968,Bill Evans,Bill Evans,false
0,train,hollandd-yesterdays-joneshhigginsb-1989-126bab92,Yesterdays,15,Dave Holland / Hank Jones,3,3,hollandd-yesterdays-joneshhigginsb-1989-126bab92,Yesterdays,1989,Dave Holland,Hank Jones,false
0,train,hicksj-yesterdays-drummondrmuhammadi-1990-8a89257c,Yesterdays,15,John Hicks / John Hicks,2,2,hicksj-yesterdays-drummondrmuhammadi-1990-8a89257c,Yesterdays,1990,John Hicks,John Hicks,true
0,train,tynerm-yesterdays-sharpeascotta-1989-47615333,Yesterdays,15,McCoy Tyner / McCoy Tyner,5,5,tynerm-yesterdays-sharpeascotta-1989-47615333,Yesterdays,1989,McCoy Tyner,McCoy Tyner,true
0,train,brownr-yesterdays-smithpbellsonl-1978-6357e74c,Yesterdays,15,Ray Brown / Paul Smith,4,4,brownr-yesterdays-smithpbellsonl-1978-6357e74c,Yesterdays,1978,Ray Brown,Paul Smith,false
